Name,Навчається.очно,Навчається.дистанційно,Навчається.змішано,total,offline_percent,online_percent,hybrid_percent,color,ADMIN_1,ADMIN_2,COD_2_2
"Заклад освіти ""Приватний загальноосвітній навчальний заклад ""МІДГАРД""","430","558","0","988","44","56","0",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа № 317 Святошинського району м. Києва,"476","106","500","1082","44","10","46",змішано,Київ,Київ,UA80000000000093317
Школа І - ІІІ ступенів №95 Шевченківського району м. Києва,"252","61","236","549","46","11","43",змішано,Київ,Київ,UA80000000000093317
Школа ІІ-ІІІ ступенів № 328 Оболонського району м. Києва,"456","530","1","987","46","54","0",змішано,Київ,Київ,UA80000000000093317
Ліцей податкової та рекламної справи №21 міста Києва,"78","88","0","166","47","53","0",змішано,Київ,Київ,UA80000000000093317
Ліцей Ольгинський,"133","149","0","282","47","53","0",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад ""ДАР СКУЛ""","1","1","0","2","50","50","0",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Київська гімназія ""Міжнародна школа М'Андрик""","74","69","0","143","52","48","0",змішано,Київ,Київ,UA80000000000093317
спеціалізована школа №52 з поглибленим вивченням інформаційних технологій,"495","0","455","950","52","0","48",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Науковий ліцей/пансіон ""Міжнародна Зелена Школа ім. Клима Чурюмова""","52","45","0","97","54","46","0",змішано,Київ,Київ,UA80000000000093317
"Комунальний ліцей ""Маріупольський ліцей міста Києва""","79","0","67","146","54","0","46",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКИЙ МІЖНАРОДНИЙ ЛІЦЕЙ ""СТАДІ ЕКЕДЕМІ""","343","269","0","612","56","44","0",змішано,Київ,Київ,UA80000000000093317
"ТОВ ""Київський ліцей""Ключик""","27","21","0","48","56","44","0",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад загальної середньої освіти ІІ-ІІІ ступенів ""Гімназія А+""","338","257","0","595","57","43","0",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа №297 Святошинського району м.Києва,"363","62","213","638","57","10","33",змішано,Київ,Київ,UA80000000000093317
